Block,District,Ward,Beat,location_id
033XX N KILPATRICK AVE,17,30,1731,1
018XX N LAMON AVE,25,37,2533,2
080XX S MARQUETTE AVE,4,7,422,3
040XX N ASHLAND AVE,19,47,1912,4
114XX S ARTESIAN AVE,22,19,2212,5
058XX W EDDY ST,16,38,1633,6
050XX W PENSACOLA AVE,16,45,1624,7
014XX S AVERS AVE,10,24,1011,8
020XX W WASHINGTON BLVD,12,2,1223,9
024XX N LONG AVE,25,31,2515,10
088XX S SAGINAW AVE,4,7,423,11
039XX W CONGRESS PKWY,11,24,1132,12
002XX N MICHIGAN AVE,1,42,111,13
013XX W ERIE ST,12,27,1215,14
020XX N NEWLAND AVE,25,36,2512,15
056XX S NARRAGANSETT AVE,8,23,811,16
043XX N SPAULDING AVE,17,33,1724,17
018XX N KEDVALE AVE,25,30,2534,18
031XX W MONROE ST,11,28,1124,19
085XX S SANGAMON ST,6,21,613,20
008XX E 103RD ST,5,9,512,21
012XX W WASHINGTON BLVD,12,27,1224,22
026XX W 63RD ST,8,15,825,23
017XX N FAIRFIELD AVE,14,1,1421,24
052XX S UNIVERSITY AVE,2,4,233,25
076XX S KINGSTON AVE,4,7,421,26
122XX S PRINCETON AVE,5,34,523,27
008XX E 82ND ST,6,8,631,28
080XX S MARSHFIELD AVE,6,21,611,29
017XX W PRYOR AVE,22,19,2212,30
012XX N PARKSIDE AVE,25,29,2531,31
071XX S VERNON AVE,3,6,323,32
070XX S DR MARTIN LUTHER KING JR DR,3,6,322,33
036XX W POLK ST,11,24,1133,34
092XX S EUCLID AVE,4,8,413,35
069XX S WOLCOTT AVE,7,17,735,36
026XX W BELMONT AVE,14,1,1411,37
002XX E 121ST PL,5,9,532,38
037XX W 70TH PL,8,13,833,39
076XX S PARNELL AVE,6,17,621,40
055XX S CHRISTIANA AVE,8,14,822,41
006XX N LOREL AVE,15,37,1524,42
048XX N KILBOURN AVE,17,39,1712,43
054XX W HADDON AVE,15,37,1524,44
053XX W NEWPORT AVE,16,38,1634,45
032XX W 62ND ST,8,15,823,46
040XX S PRAIRIE AVE,2,3,213,47
036XX W ARMITAGE AVE,25,26,2525,48
009XX N LATROBE AVE,15,37,1524,49
125XX S HARVARD AVE,5,9,523,50
047XX S WOOD ST,9,20,931,51
034XX W FRANKLIN BLVD,11,27,1121,52
003XX E 68TH ST,3,20,322,53
098XX S FOREST AVE,5,6,511,54
043XX W WASHINGTON BLVD,11,28,1114,55
072XX S MAY ST,7,17,733,56
087XX S BURLEY AVE,4,7,424,57
040XX S ROCKWELL ST,9,12,921,58
041XX W VAN BUREN ST,11,24,1132,59
064XX S LOWE AVE,7,20,723,60
066XX S MARYLAND AVE,3,5,321,61
043XX N SACRAMENTO AVE,17,33,1724,62
